勘定科目,借方合計,貸方合計,借方残高,貸方残高
事業主貸,,,,
事業主借,,,,
売上,,,,
買掛金,,,,
地代家賃,,,,
通信費,,,,
水道光熱費,,,,
交通費,,,,
消耗品費,,,,
支払手数料,,,,
